,amount,v1,v2,v3,v4,v5,v6,v7,time,class
94,294.52,-0.74,-2.56,-2.27,0.32,-0.28,-0.2,1.89,43,0
95,446.38,2.64,0.57,-1.28,-0.73,0.14,-1.48,-0.97,74,0
96,454.4,-1.36,-1.88,1.17,0.32,-0.34,-1.99,1.15,330,0
97,71.22,0.3,-1.76,1.03,-0.47,0.06,0.95,-0.81,96,0
98,4.81,-0.4,2.91,-0.63,1.4,0.23,-1.26,1.27,248,0
99,511.7,0.61,-0.21,-1.81,-0.32,-0.46,-1.25,0.8,226,0
100,339.85,-1.18,1.01,-0.7,0.97,-0.9,0.88,1.96,496,0
101,484.9,-4.17,-1.47,1.04,1.9,-0.82,0.84,-0.21,21,0
102,477.21,-4.71,-0.27,1.54,0.73,-0.76,-1.7,-0.28,196,0
103,126.91,-0.12,2.96,-1.54,1.64,0.63,0.64,-0.59,162,0
104,251.45,-2.05,-1.24,1.03,1.46,-0.7,0.16,-0.01,393,0
105,112.14,-4.62,-1.69,-0.27,0.45,0.85,-0.18,0.18,302,0
106,64.54,-3.27,-1.24,-0.33,0.35,-0.53,-0.78,0.67,12,0
107,350.52,-3.28,1.0,0.19,0.38,-0.8,-2.93,0.35,207,0
108,230.96,2.3,0.74,-1.87,0.23,0.57,-1.37,0.87,3,0
109,306.47,-1.83,1.61,2.36,-0.41,-0.6,1.0,0.35,100,0
110,305.25,-3.53,-2.66,0.04,0.22,0.96,0.35,-0.95,498,0
111,284.15,-2.23,-1.81,1.83,-0.99,-0.85,-1.55,-0.14,75,0
112,377.64,1.09,-1.59,-0.66,-0.2,-0.23,-0.2,0.84,228,0
113,4.3,-0.88,0.27,-2.24,-0.81,-0.74,0.08,-0.99,345,0
114,337.73,-0.62,0.4,-1.05,0.99,-0.92,-2.67,-0.08,78,0
115,17.88,-4.2,1.26,2.96,0.39,-0.63,0.08,1.27,298,0
116,162.52,1.48,1.34,-0.76,1.46,0.01,-0.25,1.01,23,0
117,72.63,0.81,-2.26,-1.27,0.83,-0.22,-1.53,0.81,351,0
118,359.83,0.51,2.05,0.78,1.52,-0.88,-2.77,1.86,159,0
119,394.61,-0.19,-1.09,-2.92,-0.67,0.86,-2.5,-0.62,127,0
120,327.56,1.6,-1.01,-0.74,-0.87,-0.3,0.71,-0.72,492,0
121,18.26,-2.06,-0.87,-1.03,1.57,0.97,-2.69,1.96,280,0
122,184.08,-3.6,2.74,-2.14,0.73,-0.35,-2.17,-0.88,421,0
123,230.47,1.0,-0.4,-0.34,0.48,0.25,-2.52,-0.26,478,0
124,358.71,0.18,-2.77,1.94,1.99,-0.65,-0.5,0.84,444,0
125,223.1,1.74,1.92,-1.15,1.24,0.61,-1.71,0.72,236,0
126,440.87,2.74,-1.04,1.37,1.99,-0.5,-0.87,1.47,485,0
127,510.58,-1.97,1.28,2.07,0.82,0.92,-1.3,0.71,268,0
128,75.57,0.99,2.75,-0.19,1.98,0.92,-1.64,1.85,498,0
129,45.82,0.94,-1.28,-0.96,-0.59,-0.01,0.67,1.09,280,0
130,431.89,1.13,-1.61,-0.99,-0.95,-0.83,-0.76,1.15,11,0
131,124.59,-1.23,-0.73,-0.23,-0.99,-0.58,-2.02,0.99,345,0
132,180.33,-2.82,2.56,0.43,1.73,0.46,-0.37,-0.91,196,0
133,212.05,-3.19,-0.01,-1.1,1.84,0.27,-2.71,0.95,172,0
134,299.52,-4.87,-2.26,-2.5,1.62,0.71,-0.61,0.2,359,0
135,255.86,-3.53,0.75,1.79,0.64,0.84,-1.59,0.83,390,0
136,305.9,-3.98,-1.71,1.08,0.38,-0.64,-0.37,1.11,345,0
137,399.87,-3.38,1.86,-2.39,0.1,-0.13,-0.2,0.71,483,0
138,117.91,-3.24,2.99,2.53,1.74,0.33,-0.74,-0.17,282,0
139,31.93,-2.05,-0.46,-2.62,-0.4,0.01,-0.33,-0.76,443,0
140,6.6,-0.66,1.07,-2.48,-0.93,-0.91,-1.55,0.02,416,0
141,49.94,2.04,0.77,-0.69,0.49,-0.66,-1.09,0.45,211,0
142,347.69,-4.7,-2.73,-2.65,0.04,0.26,0.27,1.31,84,0
143,162.15,2.04,2.49,2.13,0.45,0.16,-1.88,-0.05,36,0
144,450.6,-0.18,1.81,-1.93,-0.26,-1.0,-1.51,-0.02,225,0
145,377.6,-4.68,-1.15,-0.22,1.45,-0.48,-1.04,-0.31,440,0
146,3.7,1.62,0.88,1.29,1.95,0.46,-0.24,1.32,484,0
147,125.71,-3.07,2.81,-2.38,-0.55,0.95,0.17,1.57,77,0
148,12.43,-1.39,2.26,-2.97,-0.67,-0.47,-2.68,-0.62,257,0
149,166.52,-4.65,-2.64,2.79,0.36,-0.15,0.56,0.67,4,0
150,304.23,-2.42,-0.18,-0.69,0.39,0.79,-1.18,-0.66,223,0
151,410.72,0.71,1.57,-2.23,-0.97,0.95,0.19,0.2,244,0
152,180.66,-2.27,0.4,-2.79,0.52,0.69,-1.07,0.75,231,0
153,258.71,2.51,2.53,-1.39,0.0,0.79,0.25,0.41,152,0
154,443.35,0.27,-0.97,-0.78,0.72,-0.84,0.41,-0.87,199,0
155,508.43,-4.7,0.84,-1.53,1.52,-0.44,0.53,0.26,435,0
156,351.04,0.62,1.29,0.86,-0.91,0.28,-1.26,1.31,438,0
157,316.0,-1.65,-1.71,-0.34,0.16,-0.42,-1.99,1.16,446,0
158,13.95,-0.69,-1.22,1.98,0.75,-0.23,0.92,-0.28,15,0
159,18.52,2.78,-0.55,-2.48,1.06,-0.53,-2.94,1.81,310,0
160,301.06,-0.92,1.0,1.86,-0.27,-0.11,-0.11,0.16,320,0
161,294.59,1.57,1.97,-0.28,0.28,-0.77,-2.28,-0.31,430,0
162,11.36,1.47,0.66,-2.3,-0.47,0.33,-0.6,2.0,170,0
163,152.14,-1.97,1.57,2.32,0.26,0.12,-0.32,-0.11,357,0
164,104.58,-1.64,1.46,-0.3,1.25,-0.95,-0.47,-0.27,12,0
165,385.42,-0.96,-0.24,1.09,-0.03,-0.56,0.02,1.81,221,0
166,202.42,-2.22,-2.59,-2.19,0.43,-0.35,-0.14,-0.51,293,0
167,92.63,-1.79,0.83,2.22,0.11,0.22,-0.2,1.52,397,0
168,320.18,1.36,0.21,-2.14,1.11,0.01,-2.28,0.77,407,0
169,484.33,-0.96,2.07,0.59,0.61,-0.14,-2.58,-0.24,364,0
170,495.05,1.1,-2.06,-1.5,0.54,-0.38,0.66,1.71,472,0
171,295.8,0.69,1.89,-0.5,1.03,-0.96,0.72,1.21,416,0
172,488.72,2.25,-1.37,2.11,-0.69,0.65,0.28,1.48,198,0
173,94.01,-1.0,2.21,0.76,0.3,0.7,0.48,0.97,412,0
174,279.02,-4.37,-0.69,2.5,1.61,-0.85,-0.01,0.77,119,0
175,140.77,-4.24,-0.2,-2.28,1.91,-0.22,-1.33,1.26,342,0
176,450.04,-1.16,2.37,2.84,1.26,-0.36,-0.57,-0.81,495,0
177,366.79,-4.4,-2.53,1.58,0.86,-0.37,0.16,1.62,49,0
178,35.2,-2.19,-2.5,-1.17,-0.93,0.96,-1.55,-0.41,369,0
179,453.23,-2.49,0.47,1.07,-0.4,-0.99,-2.53,0.08,451,0
180,337.91,-1.94,-0.65,0.74,1.43,0.34,-2.98,1.57,162,0
181,378.72,0.97,1.88,2.72,1.99,-0.86,0.84,-0.3,196,0
182,512.26,-0.71,-2.1,-0.13,-0.02,0.32,-1.88,-0.71,46,0
183,307.85,2.83,-1.65,0.08,0.78,0.47,-2.56,1.55,437,0
184,302.89,1.71,-0.87,-1.46,-0.36,-0.72,-0.03,0.13,317,0
185,352.31,2.48,1.08,1.01,-0.78,-0.15,-0.06,-0.64,45,0
186,134.43,-2.59,-2.54,0.1,0.82,-0.1,-1.25,1.15,272,0
187,122.87,-0.02,1.62,-0.45,1.06,0.78,-0.29,0.02,483,0
188,31.91,1.41,1.03,1.26,1.19,-0.39,-2.56,0.15,80,0
189,19.54,-2.38,-0.78,2.88,-0.21,-0.85,-2.33,0.62,429,0
190,342.33,-1.59,1.28,-1.81,-0.73,-0.03,-0.91,0.35,220,0
191,152.53,-4.89,-2.73,-2.68,1.28,-0.56,0.28,-0.91,70,0
192,124.28,-1.54,2.53,-0.84,1.71,0.53,-2.43,1.33,12,0
193,495.25,1.31,-0.0,-0.06,1.17,-0.48,0.22,1.96,18,0
194,365.86,-3.46,0.55,-1.24,-0.95,-0.49,-0.73,0.74,115,0
195,206.48,-1.76,0.42,2.34,-0.02,0.92,-0.69,-0.73,489,0
196,146.29,1.75,-1.54,1.31,1.82,-0.87,-0.54,1.53,346,0
197,324.47,-0.54,-0.93,0.97,-0.99,0.64,0.43,1.59,217,0
198,462.97,-0.95,2.19,0.98,-0.22,-0.72,-2.03,1.27,124,0
199,68.49,2.69,1.83,2.38,1.78,0.36,-0.45,1.88,486,0
200,45.21,-0.28,0.41,2.04,0.02,0.64,-0.09,-0.64,117,0
201,195.55,-2.78,2.63,0.59,1.31,-0.74,-1.32,1.23,366,0
202,37.43,-3.35,2.47,-1.77,1.12,0.79,-3.0,1.22,55,0
203,64.47,-2.84,0.56,-1.54,0.84,-0.93,-1.41,1.71,187,0
204,357.72,-3.79,-2.61,-1.04,0.55,-0.48,0.69,-0.97,287,0
205,45.81,-0.41,-0.58,-1.92,0.83,0.09,0.81,1.1,299,0
206,18.31,-2.96,2.06,-2.75,-0.69,-0.36,0.43,0.78,66,0
207,217.12,0.98,2.77,0.4,0.58,-0.66,-0.75,1.02,442,0
208,341.98,-4.0,-2.52,0.65,0.24,0.24,-0.94,1.27,272,0
209,259.3,-2.31,1.03,1.28,1.71,-0.59,-2.55,-0.02,404,0
210,332.23,2.48,2.72,-2.67,1.82,-0.26,-2.27,0.89,0,0
211,482.3,-0.83,-0.46,2.68,1.39,0.25,-0.26,-0.8,23,0
212,204.41,-1.29,-1.28,-1.86,-0.98,0.47,-0.39,0.89,482,0
213,376.57,-3.54,0.21,-0.85,-0.88,0.21,-0.96,-0.87,23,0
214,425.71,-0.41,-1.6,0.48,-0.23,-0.31,-1.26,0.29,151,0
215,127.3,2.23,0.53,-0.89,-0.0,-0.23,-0.59,-0.3,69,0
216,332.95,1.51,2.06,0.82,0.79,0.44,-0.74,0.81,391,0
217,385.57,-1.31,-0.08,-1.69,0.69,0.85,-1.53,0.38,318,0
218,375.32,-1.72,-1.37,2.8,-0.14,0.2,-0.27,-0.54,303,0
219,377.63,-3.9,0.64,-0.55,0.87,-0.88,0.83,1.19,178,0
220,46.13,-1.83,0.23,0.19,0.64,-0.46,-1.03,-0.31,330,0
221,288.99,-2.91,1.76,2.48,1.65,0.23,-2.72,1.92,419,0
222,347.83,-2.82,0.87,0.5,0.59,-0.03,-0.15,1.21,20,0
223,308.63,1.89,-1.48,1.44,-0.83,0.1,-1.37,-0.27,257,0
224,446.05,2.31,1.58,-0.78,0.25,0.08,-0.78,0.66,107,0
225,495.14,1.21,2.08,1.24,1.44,-0.65,-1.11,-0.63,407,0
226,183.38,-1.76,1.28,-1.81,-0.59,0.17,0.34,-0.69,305,0
227,25.05,2.1,-2.42,-0.83,-0.03,-0.8,-1.4,-0.46,433,0
228,410.31,1.49,-2.17,-0.63,0.12,-0.76,-2.63,1.22,115,0
229,112.91,0.52,0.35,-2.5,-0.7,0.93,0.87,0.62,271,0
230,91.29,2.04,-1.31,-1.22,0.98,0.41,-0.31,1.11,282,0
231,216.98,-1.39,-0.21,0.72,0.96,0.13,-0.99,1.45,108,0
232,76.63,2.34,-2.69,-0.13,1.98,0.15,-0.71,-0.3,140,0
233,9.26,0.59,-0.4,2.59,0.23,-0.44,-2.61,0.03,473,0
234,230.35,-0.89,2.58,-1.6,1.23,-0.63,-1.16,1.43,286,0
235,303.33,0.25,-2.06,-0.04,1.31,-0.58,-2.59,-0.25,353,0
236,430.3,-2.33,0.81,0.69,1.23,0.28,0.32,0.84,246,0
237,405.58,-3.8,2.21,1.43,-0.29,-0.67,0.62,1.55,3,0
238,483.2,-2.11,1.3,2.34,-0.11,0.25,-2.46,-0.52,186,0
239,292.3,1.78,-0.98,-0.14,0.02,0.35,0.84,-0.01,175,0
240,366.83,1.56,-1.02,-2.49,0.54,0.7,-0.15,1.27,402,0
241,509.89,-3.19,2.75,-2.17,0.85,0.9,-1.09,-0.5,332,0
242,376.31,2.32,-2.95,-1.85,0.98,-0.42,-0.66,-0.94,408,0
243,402.8,-1.44,-0.73,0.25,0.86,-0.48,0.36,1.95,307,0
244,206.42,2.27,-2.67,-1.79,0.83,-0.85,0.38,1.86,452,0
245,147.75,-0.34,2.57,0.58,0.88,-0.05,-2.59,1.73,119,0
246,256.35,-2.7,2.73,-1.51,0.37,-0.67,0.96,0.45,72,0
247,290.66,-1.39,2.16,0.64,-0.02,0.04,-0.3,-0.5,43,0
248,123.29,-3.65,1.61,2.06,1.62,-0.62,0.11,0.04,484,0
249,32.08,-1.39,1.2,-1.55,0.95,0.06,-1.06,1.24,284,0
250,487.93,-4.44,-0.49,2.7,0.2,0.36,-1.36,1.15,182,0
251,348.08,0.94,1.26,-0.94,-0.75,-0.64,0.5,-0.27,174,0
252,33.73,-3.69,0.95,-1.57,1.76,-0.15,-2.7,0.23,90,0
253,154.57,-0.56,1.12,0.17,0.92,-0.38,-0.18,1.88,392,0
254,298.56,-3.65,-0.25,-2.27,1.95,0.99,-1.56,1.46,98,0
255,501.62,-4.79,-0.23,-2.26,0.94,-0.19,-0.73,1.27,302,0
256,254.62,-3.76,-0.61,0.73,0.41,-0.22,0.41,0.41,199,0
257,430.93,2.12,2.27,2.94,1.03,0.35,-2.64,-0.36,153,0
258,317.57,-3.38,-0.37,-1.31,0.56,0.36,0.84,0.35,357,0
259,466.1,-2.83,-1.28,1.79,0.33,-0.71,0.74,1.69,216,0
260,326.99,2.92,-2.24,-1.62,1.86,-0.7,0.13,-0.06,447,0
261,366.93,-3.51,1.34,-0.95,1.48,0.29,-2.15,1.18,484,0
262,201.14,0.83,-0.28,-2.74,1.8,0.35,0.71,-0.64,468,0
263,154.39,0.76,2.22,1.53,0.38,-0.91,-1.18,0.33,90,0
264,53.94,-1.49,0.24,2.8,1.85,-0.83,-1.88,0.79,111,0
265,333.5,-1.54,-2.98,-2.92,0.42,-0.69,-0.55,0.54,146,0
266,313.23,-4.51,2.78,-0.12,-0.58,-0.44,-1.11,0.7,77,0
267,291.68,-1.77,1.42,-2.64,1.37,0.69,0.24,-0.61,494,0
268,167.4,-4.44,1.42,-2.08,0.47,0.88,-0.96,-0.99,437,0
269,178.54,2.49,0.26,-0.4,1.12,-0.45,-0.1,0.23,105,0
270,309.86,-4.81,-1.87,1.24,-0.27,-0.81,-2.1,1.01,187,0
271,197.04,1.09,-0.52,-1.52,0.22,-0.09,-0.58,1.23,434,0
272,132.68,-1.13,-2.92,2.8,0.7,0.31,-0.32,-0.62,286,0
273,393.55,-0.32,-1.13,-1.35,0.25,-0.53,-2.98,1.9,131,0
274,430.07,0.91,-0.99,2.15,1.18,-0.08,0.47,1.3,206,0
275,491.64,-4.55,-2.34,1.31,1.84,-0.19,-1.08,0.36,76,0
276,342.77,0.29,0.08,0.68,-0.5,-0.14,-1.2,1.8,53,0
277,386.93,-3.36,1.97,2.91,-0.25,-0.25,-0.48,1.89,335,0
278,480.03,-3.48,-2.42,0.47,1.15,-0.24,-0.45,1.65,458,0
279,504.79,2.83,1.63,0.76,0.43,0.67,-1.89,1.55,229,0
280,228.56,0.96,1.99,-2.34,0.62,-0.92,-0.06,-0.83,370,0
281,216.09,-4.98,2.35,1.87,1.27,0.81,0.71,0.61,384,0
282,190.48,2.66,1.73,-2.28,-0.36,-0.79,-2.7,0.34,227,0
283,92.81,-1.59,-0.98,-2.02,0.58,-0.61,-0.33,0.76,362,0
284,480.31,-4.36,2.28,-0.32,0.09,0.55,-1.35,1.38,171,0
285,257.53,-1.45,2.31,0.99,0.95,0.85,0.33,1.41,362,0
286,72.91,-0.34,2.35,1.52,-0.31,0.43,0.09,0.93,117,0
287,383.54,0.71,-2.37,1.92,1.22,0.27,-1.59,1.34,142,0
288,127.12,-2.39,-1.33,-0.64,0.79,0.51,-2.62,0.96,226,0
289,144.91,-3.22,-0.81,1.89,1.15,-0.81,-1.21,1.73,472,0
290,47.22,-4.87,0.21,-0.07,0.09,0.81,-1.68,1.36,409,0
291,493.89,2.22,2.41,-1.63,0.29,-0.05,-0.46,-0.48,232,0
292,359.53,-1.86,0.28,-1.07,1.58,-0.91,-1.44,1.45,138,0
293,143.73,1.63,-1.61,-1.44,0.47,0.05,-2.17,1.71,88,0
294,126.33,1.58,-1.73,1.81,0.99,-0.29,-2.22,-0.14,471,0
295,105.61,0.82,-0.55,2.2,-1.0,-0.44,-2.32,-0.91,49,0
296,331.63,0.8,1.6,0.2,0.89,-0.39,0.62,0.19,144,0
297,504.24,-4.51,0.37,-1.55,-0.81,-0.27,-0.62,0.15,338,0
298,446.23,0.23,-1.77,1.13,0.74,0.44,-2.1,1.62,184,0
299,176.51,-4.87,-1.2,-1.05,0.06,0.67,-2.18,-0.9,64,0
300,278.84,2.28,-2.54,1.46,1.15,-0.04,-1.3,0.59,432,0
301,379.56,-4.85,-0.7,-0.76,1.35,0.25,-1.18,0.72,463,0
302,268.53,-2.07,1.77,0.08,0.68,-0.87,-2.96,0.45,122,0
303,429.66,-3.04,2.38,-0.77,1.19,-0.53,-2.8,0.44,480,0
304,455.1,0.58,-1.03,-2.02,1.17,0.79,-0.27,-0.18,39,0
305,410.54,-3.04,1.83,-1.84,0.39,0.63,-0.97,-0.33,373,0
306,267.37,-3.91,-1.49,1.71,1.28,0.86,-0.97,1.44,23,0
307,133.79,1.67,-2.93,-1.21,0.33,0.31,-2.34,0.8,19,0
308,454.31,-0.23,-2.75,1.0,-0.74,-0.47,-1.29,-0.97,258,0
309,254.11,-1.46,0.21,-1.55,0.33,0.03,0.26,1.87,328,0
310,335.88,0.19,1.47,-1.6,-0.84,-0.12,0.98,1.97,298,0
311,216.67,2.42,1.66,1.94,1.36,0.85,0.17,0.63,351,0
312,404.25,2.01,0.35,1.36,0.22,0.98,-1.97,0.6,420,0
313,474.47,-2.55,-2.94,-1.07,2.0,-0.41,-1.71,1.75,175,0
314,457.57,-0.35,2.19,-3.0,0.09,-0.38,0.08,0.95,22,0
315,356.91,-3.4,0.32,-0.32,-0.4,-0.75,-1.81,0.05,396,0
316,489.16,2.8,-0.4,0.1,1.62,0.66,0.05,-0.3,216,0
317,222.37,-2.35,-0.89,-1.02,-0.34,-0.34,-2.54,0.96,219,0
318,249.56,-1.41,-1.73,-2.51,0.16,0.84,-1.65,-0.46,165,0
319,469.36,-0.36,0.2,-2.39,1.99,-0.68,-2.72,1.12,429,0
320,58.23,-1.6,2.23,1.15,0.22,0.58,0.22,1.51,486,0
321,436.56,1.91,-2.48,1.36,0.05,0.2,0.23,0.98,312,0
322,235.55,2.76,-0.02,-0.99,-0.49,0.7,-0.27,1.89,443,0
323,414.38,1.95,0.69,-2.79,-0.02,0.97,0.73,-0.97,279,0
324,5.86,-0.31,0.25,0.02,-0.57,0.1,-1.16,-0.34,278,0
325,129.44,2.33,0.01,-0.18,1.32,0.48,-0.6,1.45,390,0
326,384.4,-4.43,-2.23,1.5,1.95,0.3,-0.94,1.23,22,0
327,53.4,-4.11,-1.29,0.38,0.44,-0.94,-2.2,-0.6,65,0
328,18.96,1.47,1.89,0.92,-0.44,-0.09,-0.37,0.86,181,0
329,157.91,-1.92,-2.18,-2.63,-0.67,-0.47,-2.84,1.38,165,0
330,368.14,-3.82,0.84,-2.11,0.48,0.07,-2.33,-0.55,124,0
331,477.29,-2.36,2.11,0.43,-0.18,0.06,-0.17,-0.79,6,0
332,465.95,-2.59,-1.61,-1.84,-0.36,-0.66,-0.13,1.8,354,0
333,459.35,-0.1,2.88,-2.82,0.35,-0.56,-2.73,0.55,165,0
334,41.64,0.21,-2.38,2.79,-0.05,0.81,-2.93,1.5,92,0
